platform,processor,num_threads,0,1,2
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,84,0.03488227700000124,0.0349576473236084
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,85,0.034050143000001754,0.03431367874145508
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,86,0.040359176000002606,0.040615081787109375
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,87,0.03396724899999981,0.034242868423461914
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,88,0.03371391999999673,0.0339510440826416
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,89,0.03495291100000486,0.035251617431640625
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,90,0.035267824000001724,0.035541534423828125
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,91,0.03546793799999648,0.03593111038208008
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,92,0.036518233000002454,0.03701162338256836
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,93,0.03508520999999831,0.035535573959350586
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,94,0.03559679500000357,0.03613781929016113
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,95,0.03494002200000068,0.03532052040100098
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,96,0.036545127000003674,0.03679704666137695
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,97,0.03342387200000019,0.0336453914642334
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,98,0.03389499200000046,0.03412652015686035
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,99,0.03420636500000285,0.03441667556762695
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,100,0.04089062399999932,0.041365623474121094
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,101,0.03487575100000129,0.035118818283081055
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,102,0.03521359199999807,0.03542971611022949
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,103,0.032293338999998866,0.03250408172607422
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,104,0.034712715000004835,0.0349879264831543
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,105,0.035238427999999544,0.035531044006347656
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,106,0.03344393500000109,0.03365039825439453
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,107,0.03574556299999898,0.03603553771972656
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,108,0.03291925799999973,0.033174753189086914
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,109,0.030808073000002878,0.03311586380004883
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,110,0.033941312999999695,0.03442120552062988
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,111,0.0346153189999967,0.03505229949951172
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,112,0.034718621000003225,0.03519916534423828
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,113,0.034640674999998566,0.03507852554321289
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,114,0.034249129000002654,0.03457784652709961
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,115,0.03382483699999739,0.034319162368774414
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,116,0.034300321000003464,0.034685611724853516
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,117,0.03305762199999407,0.03344154357910156
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,118,0.03206490000000173,0.03232836723327637
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,119,0.03197249400000146,0.03220009803771973
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,120,0.03208696400000122,0.03242373466491699
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,121,0.03219567900000442,0.03260350227355957
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,122,0.03189866599999647,0.0322880744934082
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,123,0.03205784699999725,0.03243589401245117
Linux-4.18.0-553.134.1.el8_10.x86_64-x86_64-with-glibc2.28,x86_64,64,124,0.031419687000003194,0.03855633735656738
